tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
"RT @bugheadspov: is jughead home?
no he’s at work
oh 😕
GIRLY LOOKED DISAPPOINTED AND FOR WHAT 😭😭",False,en,0,28,2021-02-26 19:16:13,"['jughead', 'home', 'work', 'oh', 'girly', 'looked', 'disappointed']",jughead home work oh girly looked disappointed
@CW_Riverdale I know you guys are really trying hard with this... and I do like them as individuals and best friends but I just can’t like them together. I’ve tried but I think it’s because #bughead existed before... just feels weird not seeing them together now 😔 https://t.co/lsmK76uJHY,False,en,1,0,2021-02-26 19:14:34,"['know', 'guys', 'really', 'trying', 'hard', 'like', 'individuals', 'best', 'friends', 'like', 'together', 'tried', 'think', 'bughead', 'existed', 'feels', 'weird', 'seeing', 'together']",know guys really trying hard like individuals best friends like together tried think bughead existed feels weird seeing together
@bettyandjugrd @BarchieUpdates @RiverdaleWriter @WriterRAS please the betty and archie comments almost have the same amount of liked as the bughead comments,False,en,1,0,2021-02-26 19:13:01,"['please', 'betty', 'archie', 'comments', 'almost', 'amount', 'liked', 'bughead', 'comments']",please betty archie comments almost amount liked bughead comments
RT @enbytabitha: miss tabitha tate you’ve committed a crime...you stole my heart https://t.co/iirRtS7o3l,False,en,0,32,2021-02-26 19:09:15,"['miss', 'tabitha', 'tate', 'committed', 'crime', 'stole', 'heart']",miss tabitha tate committed crime stole heart
RT @CavalieriYlenia: @BugheadUpdates @Bughead_Support I really miss these two 😭😍❤️,False,en,0,1,2021-02-26 19:08:54,"['really', 'miss', 'two']",really miss two
@N0va145 7 yrs hav passed nd b and a mite give der relationship a chance but my point is dey bth will b pulled in opp directions cos of v nd jug.....dey luv each oder coz dey r childhood bests frnds nd probably even dey expected to end up 2gether but #VARCHIE and #bughead happened...,False,en,1,0,2021-02-26 19:08:50,"['7', 'yrs', 'hav', 'passed', 'nd', 'b', 'mite', 'give', 'der', 'relationship', 'chance', 'point', 'dey', 'bth', 'b', 'pulled', 'opp', 'directions', 'cos', 'v', 'nd', 'jug', 'dey', 'luv', 'oder', 'coz', 'dey', 'r', 'childhood', 'bests', 'frnds', 'nd', 'probably', 'even', 'dey', 'expected', 'end', '2gether', 'varchie', 'bughead', 'happened']",7 yrs hav passed nd b mite give der relationship chance point dey bth b pulled opp directions cos v nd jug dey luv oder coz dey r childhood bests frnds nd probably even dey expected end 2gether varchie bughead happened
RT @cachervans: I'M NOT REALLY PREPARED IN ANY WAY FOR THIS. I'M GOING TO COLLAPSE https://t.co/1GdXqxKLlk,False,en,0,6,2021-02-26 19:08:15,"['really', 'prepared', 'way', 'going', 'collapse']",really prepared way going collapse
RT @glialtrituttiaf: I miss my #BugHead . Bye. #Riverdale,False,en,0,1,2021-02-26 19:08:04,"['miss', 'bughead', 'bye', 'riverdale']",miss bughead bye riverdale
@BugheadUpdates @Bughead_Support I really miss these two 😭😍❤️,False,en,2,1,2021-02-26 19:05:09,"['really', 'miss', 'two']",really miss two
if you don't see he's jealous of bughead i honestly don't know what to tell you.. https://t.co/IcbfPV3hh6,False,en,28,0,2021-02-26 19:04:39,"['see', 'jealous', 'bughead', 'honestly', 'know', 'tell']",see jealous bughead honestly know tell
if you dont ship bughead and varchie ima assume you just dont have taste for amazing ships,False,en,3,0,2021-02-26 19:04:14,"['dont', 'ship', 'bughead', 'varchie', 'ima', 'assume', 'dont', 'taste', 'amazing', 'ships']",dont ship bughead varchie ima assume dont taste amazing ships
when jughead finally comes back to talk with her and they both talk on missing each other betty says I asked about you the other day and we finally get our slowburn bughead reunion https://t.co/aO0gXLPIyU,True,en,3,0,2021-02-26 19:02:41,"['jughead', 'finally', 'comes', 'back', 'talk', 'talk', 'missing', 'betty', 'says', 'asked', 'day', 'finally', 'get', 'slowburn', 'bughead', 'reunion']",jughead finally comes back talk talk missing betty says asked day finally get slowburn bughead reunion
@CW_Riverdale Nope🤢🤢🤢🤢 this is cheapening how important and great Bughead &amp; Varchie are. Archie&amp;Betty are not it.,False,en,0,0,2021-02-26 19:02:39,"['nope', 'cheapening', 'important', 'great', 'bughead', 'amp', 'varchie', 'archie', 'amp', 'betty']",nope cheapening important great bughead amp varchie archie amp betty
@nymonologue is this like.. in the name of bughead?,False,en,1,0,2021-02-26 19:01:11,"['like', 'name', 'bughead']",like name bughead
RT @lia_bronte: I want them back 🥺🤍 #bughead,True,en,0,3,2021-02-26 18:59:00,"['want', 'back', 'bughead']",want back bughead
@jugxc yes but its fine when i see bughead 😌,False,en,1,0,2021-02-26 18:54:31,"['yes', 'fine', 'see', 'bughead']",yes fine see bughead
#bughead FOREVER!!,False,en,0,0,2021-02-26 18:52:32,"['bughead', 'forever']",bughead forever
bughead are getting kinda ****** 🏃🏃🏃🏃🏃🏃🏃,False,en,1,0,2021-02-26 18:50:04,"['bughead', 'getting', 'kinda']",bughead getting kinda
Got s2 of Riverdale in the mail. Now I can start my rewatch &amp; thus my bughead vid for that season. 😁,False,en,0,0,2021-02-26 18:48:44,"['got', 's2', 'riverdale', 'mail', 'start', 'rewatch', 'amp', 'thus', 'bughead', 'vid', 'season']",got s2 riverdale mail start rewatch amp thus bughead vid season
"RT @azalben: Wow, seven years and now Betty doesn't even remember her ex-boyfriend's name, smdh https://t.co/n0QQM3W8J0",False,en,0,93,2021-02-26 18:48:36,"['wow', 'seven', 'years', 'betty', 'even', 'remember', 'ex', 'boyfriend', 'name', 'smdh']",wow seven years betty even remember ex boyfriend name smdh
RT @BUGGIEDALE: Mr. Jones looks extra cute in this episode https://t.co/aeaROqPcdk,False,en,0,45,2021-02-26 18:46:54,"['mr', 'jones', 'looks', 'extra', 'cute', 'episode']",mr jones looks extra cute episode
"RT @maoagenes: ⠀ ⠀⠀
⠀ ⠀⠀
            /  just  a  reminder  that  ,  I  DON'T  SHIP  BARCHIE  .  nor  bughead  either  really  .  sorry  guy…",False,en,0,2,2021-02-26 18:45:45,"['reminder', 'ship', 'barchie', 'bughead', 'either', 'really', 'sorry', 'guy']",reminder ship barchie bughead either really sorry guy
